image_id,text
521669,Someone is holding a phone while watching a video on it.
116361,so many people using laptops at a meeting
118113,this is a very dark picture of a room with a shelf
440094,A wooden bed with a brown dog sleeping on top of it.
313428,a bed sits under neath a glass fish tank 
503200,A shower has a removable shower head and a glass door.
126065,The two figurines and bells are under the clock.
47010,A pond of water with three giraffe walking in the dirt.
134722,Fast commuter train moving past an outdoor platform.
527086,The police officers are sitting together and eating food.
233638,A laptop and a cell phone on a table.
145544,A black dog in a bathroom drinking out of the toilet.
368193,Three people on horse back at a rural road intersection.
68852,An old car in a parking lot with a surfboard strapped to the top
313130,a silver fridge sits in a room next to a microwave 
308856,tree is a female tennis player that is playing on the court 
429582,A baby next to a stuffed bear of some sort.
106912,A young boy riding a skateboard across a parking lot.
197125,A desk with computers and monitors and books.
52290,A black and white cat sniffs a laptop computer.
304240,A red traffic light at a street side.
351127,people on a lake holding onto parachutes as they surf the water
60179,A man on skies with a parachute attempting to ski with it.
114770,"A green military jeep, and motorcycle on display."
127668,A large truck drives up to an airplane.
196594,Three clocks are displaying times from different time zones.
248051,A man riding a skateboard on top of a sidewalk.
135486,A man fixes a kite as he stands with his friend on the beach.
474039,A baby sitting in between to large stuffed animals.
553162,Brown bear walking on a path in the woods.
451533,A left hand golding a Samsung flip phone from Sprint
201418,A young man standing in front of a luggage carousel at an airport.
167510,A stop sign at the intersection of Lyndon Ave and South.
487685,A group of people standing on floor mats at an event.
227590,The passenger train is painted brown and white. 
467578,A box of donuts with a coffee in front of it.
379476,A long tunnel with a long table with lots of seats and candles next to wine glasses.
35206,a tennis player crouching down near the net
173208,A plate of food has some sesame seed bagels.
416059,Two people walk through the snow behind a dog.
350278,A zebra standing on top of a dirt field.
277831,A glass of alcohol next to an open laptop computer.
146742,A beautiful young lady laying on top of a park bench.
570579,A baby boy sits in a high chair next to a green and white cake.
117988,A woman wearing red top and black skirt holding umbrella
151005,a wooden bench with some yellow and green leaves 
143224,An airplane on the tarmac and the glass passageway leading to its door
294853,"A man in a red cap, green shirt and white shorts holds a tennis racket under his arm."
323552,A young girl with glasses appears to be waiting with luggage at the baggage center.
185181,A giraffe on display in a glass enclosure.
43850,A man standing over his dog on a beach while holding a surfboard next to the ocean.
351369,A landing jet airplane kicking up spray on a wet runway.
558661,A woman that is standing in the grass with a frisbee.
119516,A beautiful woman standing on the side of a rad next to a street.
89790,A man in a parking lot talking to the driver of an army green pickup truck.
310998,A man on a snowboard that is in the snow.
477698,A herd of zebra standing on sandy area with rocks.
375317,A black stove top oven sitting next to a window.
169539,A man standing up against a wall with his hands clasped together.
141887,A woman riding a surfboard on a wave in the ocean.
466263,A silver fire hydrant by a manmade path and lake
203878,a tennis player wearing red and white swinging at the ball
487534,Two zebras nuzzle together in a wooded area. 
204611,Several airplanes sitting on the tarmac being unloaded.
411564,A man sitting in a window ledge with a cell phone in his hand.
149890,A giraffe and two zebras are standing in the grass.
170651,A pair of trains parked at a station.
201928,A counter topped with containers of foods and a roll.
311206,A statue of a bear in an enclosure.
480951,Cars and traffic signals light up the streets at night around a busy intersection.
270474,A little girl holding a baseball bat on grass.
581402,A calico cat curls up inside a bowl to sleep.
458137,A dining room table surrounded by wooden chairs.
193424,A view of a traffic street filled with cars and motorcycles. 
487551,A red stop sign sitting next to a green street sign.
294162,A laptop computer sits on a black surface next to a wireless mouse.
383533,A man and woman dragging surf boards through the water
192168,A man wearing a coat standing in a field using his smart phone.
416968,a red and white sign and a tree water and a building
474881,Horned mountain goats enjoying green grass next to the snow
479078,A brown horse being jumped over a fence rail in a competition.
38438,a close up of a cat on a rug on the ground
281598,A kitten peeking out from behind a tablecloth on a chair.
568846,A man giving a little boy a hair cut.
176362,A baseball player taking a swing at a ball
14781,A news paper sitting on a floor next to a toilet.
441147,Two antique suitcases sit stacked one on top of the other.
518255,a bony horse bending down to look at a duck
28998,A kid in a field with a muffin.
9478,A giraffe standing in a field of grass.
330140,A round picture of a train station with a tall building across the street.
74603,There are people who are getting their food.
300962,a baseball player swinging a bat at a ball
254379,A person holding a remote in their hand.
104751,A man taking a selfie in front of a mirror.
282037,A baseball player pitching a ball on top of a field.
3690,"An individual pizza with cheese, pineapple and sauce."
459809,A shot of the blue water with people flying a kite. 
189376,a room filled desks and computers a man and woman sitting listening and anther man with a camera
6040,A blue and white train is moving on the rails. 
45367,A woman in red pajamas is hugging a cute dog.
262161,Large motorcycle sitting on a grassy area in a line.
143927,A ceramic coffee cup inside of a silver microwave oven.
507427,a man sitting on a surf board in the water
243775,A clock on side of building with skyline in background.
256787,A dog wearing a tuxedo sitting at a table witha piece of cake with a lit candle.
431693,there is a male tennis player trying to hit the ball
315565,Two aging gentlemen of religious persuasion smile kindly.  
34500,A tennis player is on a blue and green court.
297520,"Hot dogs, buns and croissants on a BBQ grill "
279407,A young child holding a baseball in their right hand.
386134,a close up of a foam box of food 
6417,A surfer curls to balance on his board atop the foamy white crest of a wave
573033,A wooden bench that is overlooking a body of water.
573770,Two people skiing down a snow covered hillside.
210050,A red car traveling down a road under construction.
432906,A cat sitting on top of a laptop computer.
417265,a building sits in front of a parking meter 
554348,a woman is standing on a set of train tracks
68300,A plate of spaghetti with red sauce and broccoli. 
298372,a white and green plane is in the sky
169045,A golden plate topped with strawberries covered in sauce.
84241,A group of women in kitchen next to pot.
92081,The bike appears to be chained to the railing.
237558,This aerial shot shows a person crossing the street with an umbrella over their head.
109612,A hand holding a piece of cake with a bite out of it in front of a black and white cat.
426172,a display of items for sale on a shelf
334309,A man takes a picture of himself eating food.
227884,A pianist in a suit and glasses playing a keyboard.
425573,A big zebra and a small zebra are standing in a grassy field. 
135158,A cat laying on a couch with a remote.
341775,A single elephant that is walking in an enclosure.
350975,THREE BLUE UTILITY SINKS AND TWO WHITE REGULAR SINKS
161397,Several displays of flowers are on a table.
419774,A pitcher throws the ball towards the batter while other players watch.
164,A small kitchen with low a ceiling 
216235,Couple of cows outside eating at the grass
313240,"a desk with a computer, books, paperwork and shelves with DVDs "
554114,A woman kneeling down in front  of a parking meter.
55241,The cows are standing on the hay in a meadow. 
572790,"Avery long hot dog with ketchup, mustard and onions."
574415,Two an a half donuts on white plates.
10694,A cat stares from behind a large TV.
498061,a smiling man sitting in a fancy restaurant
416827,A train traveling down railroad tracks through a countryside.
65948,Two people sit together in a restaurant at a wooden table.
92248,A clock at the top of a tower with a statue in front.
402096,A traffic sign has been vandalized to look like a scary face.
105974,A person that is catching a frisbee in a gym.
140197,A number of people riding bicycles in a metropolitan area.
570039,A woman brushing the teeth of a toddler.
338592,The infamous Big Ben clock tower sitting under a cloudy blue sky.
291458,A clock tower gives the time in a city square.
344094,A curved bamboo next to a flower vase
394460,A group of kids playing a video game system.
141651,A woman that is sitting on the back of a horse.
137830,Some food is sitting on a stove top in a kitchen area.
485494,a cat playing with a toy on a sofa
345160,Two women and children are on a motorcycle.
353518,A fleet of ships docked on a sandy beach.
233365,A man holding a tennis racquet on top of a tennis court.
343524,A man holding a tennis racket and ball as if to start a serve.
97967,A crowd of people standing in front of a window.
88815,a man on a sail board rides through the water 
110683,Two big giraffes walking in a grassy area with a baby giraffe. 
226579,A woman holds the arms of a young boy on a soccer field. 
389503,a man is surfing down a narrow river
381971,A horse drawn carriage is near a fire hydrant by a curb.
468457,A pizza sitting inside of a cardboard box covered in toppings.
127313,A woman standing around a group of dogs.
372294,A brown and white dog sitting in a black leather chair.
90626,ranodm bus pulled over on the side of the road
45478,The Big Ben clock tower towering over a city at night.
110961,A motorcycle is parked in a bushy field.
497626,a made bed with four pillows and lamp on a table
281853,A bedroom that has a lamp on either side of the bed.
469877,"A truck, largely covered in graffiti, is parked near a stop sign on a hill."
250619,A woman sits under the shade of an umbrella at the beach.
213785,Two people who are diving for a Frisbee.
114119,The cat is sleeping underneath the clock. 
573363,a man in glasses and a tie stand on concrete
328601,A tennis players concentrates as he prepares to smack the ball.
380993,A black and white photo of a man running across the street.
110434,A man in an elevator listening to music on his iPhone. 
97146,A dark city street lined with stone buildings
429443,Three brown cows grazing on a muddy grass field.
342295,A white toilet sitting next to a bath tub filled with paintings.
475586,A man wearing a purple tie holding his hand up to his face.
431136,there are many people standing ion a field playing frisbee
458755,Young woman with sheep on straw covered floor.
163728,A cat laying on top of a desk next to a mouse.
241503,There is a dog sleeping on a futon.
473673,A tall giraffe stands alone close to woods.
509416,A bag with a hot dog inside of it.
41671,A slice of layer cake on  a plate that is garnished
19313,a person swinging a tennis racket hitting a tennis ball
70744,A group of people sitting at tables next to each other.
277051,two little sparrows standing on a table by a knife
288042,A gentleman walking in the rain along a river.
329827,A person on skis skiing down a mountain.
518604,A large bird sitting on top of a tree.
433652,A small teddy bear is on a strange chair.
313034,A man in a green shirt stands by a girl holding a piece of cake on a plate.
254454,A child stops after taking a bite of a slice of pizza.
463961,A bowl of carrots and green beans with a spoon.
235203,A cat sitting on top of a mans lap next to a keyboard.
143737,A couple of motorcycle cops driving down a street.
278175,A large brown bear walking through a forest.
227187,a table that has some bananas on it
233426,A photo of some flowers in a ceramic vase.
456662,A child standing completely upright in front of a refrigerator.
257046,A boy in a pitchers pose then pitching a baseball.
396687,Three women that are finishing a skiing tournament
115088,Tall green pine trees in back of large grassy field.
395975,"A living area with a fireplace, television and couch."
48924,A dirt bike parked near a tent in the woods.
102411,Two people riding a motorcycle to the beach.
344003,A kid playing with a bat and ball on a beach.
429802,A red fire hydrant placed near a building
21503,Crackers with spread on table with remote in background
74583,A cat laying on a cushion on top of a table.
185621,a person in a field throwing a frisbee
93686,A young boy wearing a tie while using a cell phone.
493753,An office desk holding multiple computers and various supplies.
560893,Benches surround a pond in a park in autumn.
175024,A person sits on top of a motorcycle with a stuffed toy.
196371,A cat sitting on top of an old abandoned car. 
576084,A man milking a cow during the day.
133750,A zebra in a zoo pin looking down at the ground.
420059,A suitcase that is on the ground with some shoes.
352491,A train sitting idle in an empty train station
283147,Some old buildings have street signs next to them.
368528,A man riding skis on a snow covered ski slope.
572182,A girl hitching a ride with her Dad on a skateboard
553129,The organized kitchen of a busy family in a suburban home
178795,a table top with some plates of food on it 
119939,Some young skateboarders are riding down the sidewalk.
124940,A blue cutting board with a piece of toast that includes peanut butter and jam.
380609,A surfer laying on a surf board and paddling with her hands and feet.
12209,A baseball player holding a baseball bat during a baseball game.
491130,A man riding a snowboard on top of a snow covered slope.
283441,A section of a yard being dug up next to a building.
309872,A dog lying on a couch in a house.
340329,A small train traveling past a building surrounded by a fence.
432534,a close up of a vase with many flowers 
27390,A picture of a plane that is in the air.
336340,The wooden bench is near a busy stream.
221543,A clock displaying the time in a passenger bus.
340069,A young man cuts a clown shaped cake.
419789,Two skiiers are riding on a ski lift
431281,a group of people on a field with a large kite
520996,The elephant stands in the dirt and extends its snout over the fence.
447770,an image of a child playing on a toy laptop
133237,A large elephant standing next to a small elephant.
289392,A man sitting at a table working on his laptop. 
331097,three big elephants walking across a wide river
154590,"A dinner table with wine, glasses, and bread. "
74058,A sidewalk next to the outdoor sitting area of a restaurant.
73039,a purse a pair of shoes and a horse behind a display glass
507575,A computer desk with electronics on it and other desk accessories 
474253,A man riding on the back of a horse through a river.
312552,A woman holding a plate and eating pizza.
95161,A lot of blue and yellow umbrellas sitting under a clock.
71756,Two black bears captured together in night vision.
354254,A man prepares to bite into his sandwich.
58569,two public transit buses on a city street
208132,A plate of food and ketchup bottle are on a table.
231450,A kitchen with a freezer refrigerator next to counters.
221524,A boy swims through the water using a board.
307048,a chihuahua sitting in a chair at the table in front of a plate of food
532686,A white bathroom with a walk in shower and a toilet.
463588,A small group of horses graze in an open field.
237316,The tiny white bathroom has a toilet and pedestal sink.
199492,A double red bus parked on a street.
511453,A pizza with french fries on it on a table.
215691,A small kitchen featuring an under the counter washing machine.
421169,A red and yellow trimmed plane sitting on tarmac.
560623,An airport filled with planes sitting on tarmacs.
414676,A very tall brick clock tower with a clock on each of it's sides.
549242,A couple of men riding waves on surfboards.
247536,Two pizzas sit next to each other on metal grates. 
295693,A woman sitting on a couch using a laptop computer.
386967,A row of empty benches alongside a road.
490275,Air force jet in a take off position above the tree line.
104982,A man holding a smart phone in his right hand.
295491,Military personal serving themselves food at an event.
135578,A store selling lots of vegetables and fruits.
153392,Many of the kites ascend high into the clouds.
531512,A person holds a machine to a cow's udders.
192296,A COUPLE OF PEOPLE AT A TABLE NEAR A POOL OUTSIDE ON THEIR PHONES
581749,there are many pieces of broccoli and vegetables here
132690,A cat that is laying in a basket.
383175,A train in a station with a person in yellow clothes nearby
547144,"A laptop next to two computers, keyboards and some mouses."
537297,a woman stands with a small child 
326079,Three giraffes standing amongst a copse of trees.
214244,A young woman riding skis down a ski slope while holding ski poles.
134575,A couple of people flying a kite on top of a sandy beach.
34524,A bed is scattered with papers and a remote control.
465324,A herd of elephants grazing on a lush green field.
44590,A group of motorcycles parked on the side of a road.
394449,People sitting on a bench at the train station.
459645,A person performing a jump on a snowboard.
465675,A beach with two boats and a tractor.
245320,A man performing on a skateboard ramp jump.
311327,Several people in a canoe with oars on the river.
373848,A red smart phone sitting on top of a wooden table.
552945,a girl stands by an elephant near some trees
104313,"A box of donuts, some that are jelly filled, coconut, frosted, and have sprinkles."
47781,A bedroom with a full size bed and wooden headboard with  matching drawers on the side.
176330,"A view of a kitchen sink, knives, hanging cups, and wine glasses."
205594,Athletes on field during sanctioned tournament at night.
527440,A man doing farm work on a tractor in a field.
281365,A metal sink and a row of white urinals
361621,A cat sitting in a bathroom sink under a  faucet.
518188,A lamp in the window of a house.
462840,A dog in the back of a pick up truck.
119785,a nice sandwich and a nice salad onn a plate
110449,A man standing next to another man wearing headphones.
423396,A clock adorned with angel sculptures mounted below a bright double lamp.
202944,Some asian cuisine is shown with vegetables and noodles.
124279,A man sitting at a table in front of a laptop computer.
557556,A woman catching a frisbee on a beach.
227218,A black and white cat is near a little dead bird on the sidewalk.
465973,A man is riding a horse in a dirt enclosure.
287396,A blue double decker bus that says Garage on it.
41990,A group of people on snow shoes posing for a photo.
309573,a man windsurfing and another man hanging onto a parachute
167271,A young person playing a Nintendo ds while laying on a bed.
386764,A boy in blue shirt standing with a baseball bat.
233298,A large commercial airliner is flying through the sky.
403020,A giraffe lying on the ground in a zoo pin.
416787,The pastry has a substance in the middle of it
32391,A sign sitting above a store front entrance.
53457,A cat sitting on top of a television.
179642,a tennis player sitting in a chair shirtless
328745,Two brown bears sitting on top of a black and white checkered bed.
513555,A couple of men sailing on a sailboat out in the harbor. 
45099,A woman's reflection of her taking a picture of a sink and toilet.
110081,A group of people on mopeds in a busy street.
423892,One adult and three kids standing at a table singing happy birthday. 
68380,Bananas are on sale for 47 cents per pound in the produce section.
553954,The two sumo wrestlers are facing each other with the ref between them.
281972,A boy in a green and yellow jersey holding a baseball bat.
345536,a living room with a table chairs and a couch
205239,A clock tower surrounded by blowing snow in a city.
484229,The people walk down the street holding umbrellas.
444515,THERE IS A NUT AND A ORANGE YOGURT AND AN APPLE
250901,A group of people getting their food from a bag.
232453,A large green and yellow truck parked next to a similar green and yellow truck.
164005,A baby is sitting on a bed playing with a laptop computer.
241986,two tags one with an elephant on one and a dog on the other
222009,A vase filled with purple and red flowers sitting on a counter.
2299,Many small children are posing together in the black and white photo. 
369986,A lady staring lovingly into her pizza. 
568276,A close up of pizzas resting on serving trays on a table.
139077,A young boy holding a Nintendo Wii game controller.
167443,a lit up counter with two fancy sinks on it
121849,A very cute child sitting on the commode with his pants on
373140,a yellow and blue cart is parked on a street
540159,A very nice looking living room with a couch.
95707,A table topped with a train styled cake.
353295,Images of 3 unusually long hot dogs sticking out of their buns.
172137,There are four fruits balanced on the neck of the bottle.
157635,"The view of a living room couch, windows, fireplace, and television set."
291589,Colorful vases with flowers on a table with overhanging paper lantern
159500,The narrow corridor of a restroom for men with stalls and urinals. 
328890,A knife and a pizza cut into slices on the plate
180411,A large Air Force jet taking off of a runway.
144784,A hand with finger on a blender filled with liquid.
186177,A pair of zebras in their natural habitat.
70588,A zebra and its foal eating hay from a basket.
46551,A group of people in a bar playing Wii
456833,A silver passenger train with an aids walk poster on it's side.
75083,a close up of street signs with buildings in the background
500826,A pole with three road signs stands in front of a building.
88634,A kitchen with a black stove top oven.
339965,A group of children standing around a candle filled cake.
397640,A man on horseback herds cattle on yellow grass.
564197,"Two plates of food that include beans, guacamole and rice."
455414,A young skier is attempting to go down the hill. 
482021,A group of teenage girls are walking a dog on the grass.
60610,A large silver double decker bus driving down a street.
448117,A group of people carrying ski equipment while walking on snow covered ground.
127153,A couple of women that are holding umbrellas.
364266,a grey king-cab truck is parked in a driveway
65981,A large train is coming down the track between a beautiful mountain.
301799,"A sandwich, carrots and strawberries in a lunch box."
566189,"A bathroom filled with rotten,crap filled, destroyed toilets sitting in a row in a destroyed bathroom."
167993,THERE IS A GOAT STANDING IN THE YARD 
359043,A delivery truck parked next to a blue crane.
396768,Big clock decorates the outside of a brick wall
240259,"Two monkeys, one with a banana at a tourist stop"
444887,a person holding up a plate with a slice of pizza
555582,A woman carrying an inside out umbrella past a wall covered in graffiti.
146986,A large jet flying over some small foothills.
6871,An adult polar bear is swimming in the water. 
77591,People holding racquets playing tennis on a court.
108094,Two people on motorbike passing by a clock facade.
373655,a teal bed and a smaller pet bed sit on a red carpet.
559778,there is a german sherpard sitting on the floor with a stuffed bear
55272,A bird floating on top of a body of water.
283070,some oranges that are sitting on some wood
90052,Two young people holding tennis racquets on a tennis court.
387223,a bunch of sheep are standing in a snowy field
324595,A couple of young men playing a game of frisbee.
216677,A white plate with a cut in half sandwich.
17867,A dinner table with candles and vases of flowers.
414109,A giraffe looking at something in some bush.
574095,There are two slices of pizza in front of the rest of the pizza.
230008,a traffic motorcycle cop waits to give a ticket
185838,A man riding a skateboard up the side of a ramp.
151808,a train is passing a lake by a mountain
506310,A room with an empty and open refrigerator and a shelf of bottles.
26799,A couple of giraffe standing next to each other.
364297,There is a cat laying down on a keyboard.
75234,A man swinging a tennis racket at a tennis ball.
238141,A street sign for Davis St. and Third Ave. with a skyscraper behind.
145209,A counter containing two silver vases with colorful flowers. 
417727,An open laptop computer next to two other open laptops.
204432,A man and woman pose for a picture together
206417,A man sitting on the beach with a dog holding a yellow frisbee.
155154,The bathroom is small and white and gray.
453341,The living room in a house with many figurines on the shelf
368671,some snow skiers and some snow and trees
453390,A yellow and red fire hydrant in grassy area next to a street.
53802,"Some people sitting around at various tables, with a railing dividing them"
94619,A young man skateboarding while listening to music. 
407945,Someone picks up a slice of fresh pizza with one hand.
44823,A man riding on the back of a horse near a plane.
32284,A motorcycle parked behind a truck on a green field.
84073,A refrigerator that has been fitted with a tap and a thermometer.
29593,A train is going down a hill through a town
283190,A kitchen with a white stove and oven.
244184,A green street sign next to a road surrounded by a forest.
63619,The person is riding a bike on the road
324419,Two boys in a living room playing a game with a Nintendo Wii controller.
392717,A brown teddy bear sitting in the middle of a road.
414374,A group of cows have shadows on the grass.
94360,a couple of people are standing outside with umbrellas
193622,A man sits with a traditionally decorated cow
567922,A blue and yellow train pulling up to a station on a sunny day.
528364,A train in a station with people walking towards and off of it. 
328959,"A bathroom with a toilet, shower and an hanging chain to flush the toilet. "
305545,a close up of a woman wearing jewelry and a boat in the background
41773,A road sign on the side of a road.
134133,A group of people sitting on top of a white blanket next to a bar of chocolate.
541486,A man on a tandem bicycle stopped while checking his cellphone.
512337,A bird perched on top of a leaf filled tree.
240417,A bird sitting on top of a green lily pad.
234370,An elephant in a field touches its nose to its mouth.
280976,A kneeling down on a baseball field next to grass.
163601,A trio of clocks are attached to the semi-circular frame by wires.
494679,Two giraffe and a zebra standing in a enclosure.
505891,A domestic cat lounges on a quilt covering a bed.
213739,Five sheep peeking out of a wall and eating hay on the ground.
279331,a small dog on a leash with a racket
205300,A person on a motor bike on a road.
203003,A young man holding a plate of food while sitting on a couch
23019,a few big buildings with roads next to them
432547,A man at a table rolling out wrapping paper.
426754,A man wearing goggles and standing in the snow.
137057,A dog holding a pink Frisbee in it's mouth.
78026,a grey cat biting into a frosted donuts
50778,People putting luggage onto a bus outside beside a building
446058,"A balding man with glasses, standing near a bridge."
401403,This man is sitting on a bench next to a tree.
391187,A picture of a red bus waiting for passengers.
161557,A German shepherd resting its head on the floor. 
332653,A man stands next to a motorbike on some pavement.
76896,a laptop besides an alarm clock maroon in color
457133,A red stop sign sitting on the side of a pole.
558633,People are sitting at a table and eating dinner. 
58146,a close up of many toy sheeps on a table 
524962,"Surfer is on rollerblades, holding a surf board."
277518,A boat sitting next to a beach in the ocean covered with birds.
57359,A room filled with clutter and a laptop computer.
8065,A baseball player swinging a baseball bat during a game.
6460,a person riding a surf board on a wave
360329,Some bananas are hanging from a banana tree.
133928,A yellow duck boat floating on top of a lake.
80613,A hipster carrying an umbrella and a white hat.
32932,A group of people standing around a kitchen next to appliances.
435387,Two individuals wearing the same thing sitting on a bench.
383001,a person walking down a street while holding an umbrella 
319579,"Several people sitting around a table in a small room with a laptop, books and papers. "
165527,A group of people gathered in a town square with an individual doing a stunt on the pavement and umbrellas strewn around.
332351,so many people on the sea skating and swimming
301421,"Computer desk setup with monitor, wireless keyboard, and other electronic devices. "
430867,A girl uses a phone next to a dog
427113,A couple of older men sitting on top of a bench.
501062,A big shiny metal pan filled with some tasty looking food.
341678,A man on a tennis court holding a tennis racket hitting a tennis ball.
561539,There are a lot if friends playing in the ski slope
40036,A person jumping a horse over a box.
538934,A view of a kitchen with a bunch of cleaning supplies around it.
41633,"A burgundy low-rider show-quality, hot rod Chevy truck."
384333,A small elephant standing next to a bush.
211141,A black and white image of a lady on her cell phone while sitting down. 
404702,Stuffed animals on the beach one with a bucket over its head.
54355,A white table topped with two pans of pizza and a black paper plate topped with a slice of pizza.
